index,id,language,setCode,translation
182,183,French,6ED,Sixième édition
183,184,German,6ED,
184,185,Italian,6ED,
185,186,Japanese,6ED,
186,187,Korean,6ED,
187,188,Portuguese (Brazil),6ED,
188,189,Russian,6ED,
189,190,Spanish,6ED,
190,191,Chinese Simplified,BOK,
191,192,Chinese Traditional,BOK,
192,193,French,BOK,Traîtres de Kamigawa
193,194,German,BOK,
194,195,Italian,BOK,
195,196,Japanese,BOK,
196,197,Korean,BOK,
197,198,Portuguese (Brazil),BOK,
198,199,Russian,BOK,
199,200,Spanish,BOK,
200,201,Chinese Simplified,RNA,
201,202,Chinese Traditional,RNA,
202,203,French,RNA,L'allégeance de Ravnica
203,204,German,RNA,
204,205,Italian,RNA,
205,206,Japanese,RNA,
206,207,Korean,RNA,
207,208,Portuguese (Brazil),RNA,
208,209,Russian,RNA,
209,210,Spanish,RNA,
210,211,Chinese Simplified,RIX,
211,212,Chinese Traditional,RIX,
212,213,French,RIX,Les combattants d'Ixalan
213,214,German,RIX,
214,215,Italian,RIX,
215,216,Japanese,RIX,
216,217,Korean,RIX,
217,218,Portuguese (Brazil),RIX,
218,219,Russian,RIX,
219,220,Spanish,RIX,
220,221,Chinese Simplified,EMN,
221,222,Chinese Traditional,EMN,
222,223,French,EMN,La Lune Hermétique
223,224,German,EMN,
224,225,Italian,EMN,
225,226,Japanese,EMN,
226,227,Korean,EMN,
227,228,Portuguese (Brazil),EMN,
228,229,Russian,EMN,
229,230,Spanish,EMN,
230,231,Chinese Simplified,HML,
231,232,Chinese Traditional,HML,
232,233,French,HML,Terres natales
233,234,German,HML,
234,235,Italian,HML,
235,236,Japanese,HML,
236,237,Korean,HML,
237,238,Portuguese (Brazil),HML,
238,239,Russian,HML,
239,240,Spanish,HML,
240,241,Chinese Simplified,USG,
241,242,Chinese Traditional,USG,
242,243,French,USG,L'épopée d'Urza
243,244,German,USG,
244,245,Italian,USG,
245,246,Japanese,USG,
246,247,Korean,USG,
247,248,Portuguese (Brazil),USG,
248,249,Russian,USG,
249,250,Spanish,USG,
250,251,Chinese Simplified,DOM,
251,252,Chinese Traditional,DOM,
252,253,French,DOM,Dominaria
253,254,German,DOM,
254,255,Italian,DOM,
255,256,Japanese,DOM,
256,257,Korean,DOM,
257,258,Portuguese (Brazil),DOM,
258,259,Russian,DOM,
259,260,Spanish,DOM,
260,261,Chinese Simplified,EXO,
261,262,Chinese Traditional,EXO,
262,263,French,EXO,Exode
263,264,German,EXO,
264,265,Italian,EXO,
265,266,Japanese,EXO,
266,267,Korean,EXO,
267,268,Portuguese (Brazil),EXO,
268,269,Russian,EXO,
269,270,Spanish,EXO,
270,271,Chinese Simplified,M21,
271,272,Chinese Traditional,M21,
272,273,French,M21,Edition de base 2021
273,274,German,M21,
274,275,Italian,M21,
275,276,Japanese,M21,
276,277,Korean,M21,
277,278,Portuguese (Brazil),M21,
278,279,Russian,M21,
279,280,Spanish,M21,
